TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360537.402 0.103
RTT 1790360537.652 0.152
RTT 1790360537.902 0.134
RTT 1790360538.153 0.198
RTT 1790360538.403 0.335
RTT 1790360538.653 0.303
RTT 1790360538.903 0.281
RTT 1790360539.153 0.060
RTT 1790360539.404 0.077
RTT 1790360539.654 0.127
RTT 1790360539.904 0.289
RTT 1790360540.154 0.091
RTT 1790360540.404 0.064
RTT 1790360540.655 0.192
RTT 1790360540.905 0.172
RTT 1790360541.155 0.181
RTT 1790360541.405 0.089
RTT 1790360541.655 0.056
RTT 1790360541.906 0.310
RTT 1790360542.156 0.350
RTT 1790360542.406 0.335
RTT 1790360542.656 0.134
RTT 1790360542.906 0.079
RTT 1790360543.157 0.173
RTT 1790360543.407 0.123
RTT 1790360543.657 0.165
RTT 1790360543.907 0.062
RTT 1790360544.157 0.298
RTT 1790360544.408 0.283
RTT 1790360544.658 0.181
RTT 1790360544.908 0.397
RTT 1790360545.158 0.054
RTT 1790360545.408 0.201
RTT 1790360545.659 0.372
RTT 1790360545.909 0.138
RTT 1790360546.159 0.156
RTT 1790360546.409 0.153
RTT 1790360546.659 0.358
RTT 1790360546.909 0.118
RTT 1790360547.159 0.058
RTT 1790360547.410 0.119
RTT 1790360547.660 0.124
RTT 1790360547.910 0.359
RTT 1790360548.160 0.123
RTT 1790360548.410 0.117
RTT 1790360548.660 0.360
RTT 1790360548.910 0.170
RTT 1790360549.160 0.092
RTT 1790360549.411 0.058
RTT 1790360549.661 0.262
RTT 1790360549.911 0.061
RTT 1790360550.161 0.144
RTT 1790360550.411 0.057
RTT 1790360550.661 0.165
RTT 1790360550.912 0.195
RTT 1790360551.162 0.058
RTT 1790360551.412 0.063
RTT 1790360551.662 0.060
RTT 1790360551.912 0.063
RTT 1790360552.162 0.068
RTT 1790360552.412 0.073
RTT 1790360552.662 0.154
RTT 1790360552.912 0.070
RTT 1790360553.163 0.234
RTT 1790360553.413 0.161
RTT 1790360553.663 0.178
RTT 1790360553.913 0.176
RTT 1790360554.163 0.074
RTT 1790360554.414 0.187
RTT 1790360554.664 0.199
RTT 1790360554.914 0.197
RTT 1790360555.164 0.081
RTT 1790360555.415 0.203
RTT 1790360555.665 0.299
RTT 1790360555.915 0.138
RTT 1790360556.165 0.081
RTT 1790360556.415 0.163
RTT 1790360556.665 0.145
RTT 1790360556.915 0.152
RTT 1790360557.165 0.056
RTT 1790360557.416 0.140
RTT 1790360557.666 0.204
RTT 1790360557.916 0.066
RTT 1790360558.166 0.298
RTT 1790360558.416 0.056
RTT 1790360558.666 0.184
RTT 1790360558.917 0.271
RTT 1790360559.167 0.070
RTT 1790360559.417 0.189
RTT 1790360559.667 0.087
RTT 1790360559.917 0.384
RTT 1790360560.167 0.186
RTT 1790360560.418 0.170
RTT 1790360560.668 0.139
RTT 1790360560.918 0.197
RTT 1790360561.168 0.219
RTT 1790360561.418 0.061
RTT 1790360561.668 0.082
RTT 1790360561.919 0.289
RTT 1790360562.169 0.206
RTT 1790360562.419 0.167
RTT 1790360562.669 0.083
RTT 1790360562.919 0.086
RTT 1790360563.169 0.056
RTT 1790360563.420 0.241
RTT 1790360563.670 0.176
RTT 1790360563.920 0.168
RTT 1790360564.170 0.066
RTT 1790360564.420 0.175
RTT 1790360564.670 0.169
RTT 1790360564.921 0.160
RTT 1790360565.171 0.075
RTT 1790360565.421 0.130
RTT 1790360565.671 0.289
RTT 1790360565.921 0.188
RTT 1790360566.172 0.186
RTT 1790360566.422 0.069
RTT 1790360566.672 0.345
RTT 1790360566.922 0.254
RTT 1790360567.172 0.262
RTT 1790360567.422 0.058
RTT 1790360567.673 0.300
RTT 1790360567.923 0.175
RTT 1790360568.173 0.073
RTT 1790360568.423 0.172
RTT 1790360568.674 0.487
RTT 1790360568.924 0.125
RTT 1790360569.174 0.086
RTT 1790360569.425 0.311
RTT 1790360569.675 0.260
RTT 1790360569.925 0.162
RTT 1790360570.176 0.434
RTT 1790360570.426 0.227
RTT 1790360570.676 0.391
RTT 1790360570.926 0.310
RTT 1790360571.176 0.144
RTT 1790360571.426 0.137
RTT 1790360571.677 0.205
RTT 1790360571.927 0.086
RTT 1790360572.177 0.091
RTT 1790360572.427 0.305
RTT 1790360572.677 0.304
RTT 1790360572.927 0.067
RTT 1790360573.177 0.095
RTT 1790360573.428 0.199
RTT 1790360573.678 0.219
RTT 1790360573.928 0.094
RTT 1790360574.178 0.061
RTT 1790360574.428 0.182
RTT 1790360574.679 0.360
RTT 1790360574.929 0.518
RTT 1790360575.179 0.136
RTT 1790360575.430 0.310
RTT 1790360575.681 0.348
RTT 1790360575.931 0.307
RTT 1790360576.181 0.057
RTT 1790360576.431 0.467
RTT 1790360576.681 0.350
RTT 1790360576.932 0.339
RTT 1790360577.182 0.189
RTT 1790360577.432 0.095
RTT 1790360577.682 0.162
RTT 1790360577.932 0.087
RTT 1790360578.182 0.102
RTT 1790360578.433 0.313
RTT 1790360578.683 0.216
RTT 1790360578.933 0.081
RTT 1790360579.183 0.185
RTT 1790360579.434 1.237
RTT 1790360579.683 0.103
RTT 1790360579.934 0.173
RTT 1790360580.184 0.109
RTT 1790360580.434 0.150
RTT 1790360580.684 0.369
RTT 1790360580.934 0.183
RTT 1790360581.184 0.345
RTT 1790360581.434 0.186
RTT 1790360581.685 0.193
RTT 1790360581.935 0.068
RTT 1790360582.185 0.190
RTT 1790360582.435 0.105
RTT 1790360582.686 0.347
RTT 1790360582.936 0.247
RTT 1790360583.186 0.069
RTT 1790360583.436 0.314
RTT 1790360583.686 0.282
