TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360307.110 0.352
RTT 1790360307.360 0.336
RTT 1790360307.610 0.338
RTT 1790360307.860 0.116
RTT 1790360308.110 0.333
RTT 1790360308.361 0.254
RTT 1790360308.611 0.248
RTT 1790360308.861 0.110
RTT 1790360309.111 0.325
RTT 1790360309.362 0.143
RTT 1790360309.612 0.274
RTT 1790360309.862 0.098
RTT 1790360310.113 0.299
RTT 1790360310.363 0.075
RTT 1790360310.613 0.153
RTT 1790360310.863 0.197
RTT 1790360311.113 0.310
RTT 1790360311.363 0.142
RTT 1790360311.614 0.331
RTT 1790360311.864 0.182
RTT 1790360312.114 0.141
RTT 1790360312.364 0.076
RTT 1790360312.614 0.202
RTT 1790360312.865 0.362
RTT 1790360313.115 0.103
RTT 1790360313.365 0.235
RTT 1790360313.615 0.058
RTT 1790360313.865 0.083
RTT 1790360314.116 0.337
RTT 1790360314.366 0.163
RTT 1790360314.616 0.345
RTT 1790360314.867 0.284
RTT 1790360315.117 0.355
RTT 1790360315.367 0.063
RTT 1790360315.617 0.052
RTT 1790360315.867 0.062
RTT 1790360316.117 0.434
RTT 1790360316.367 0.126
RTT 1790360316.617 0.147
RTT 1790360316.868 0.391
RTT 1790360317.118 0.246
RTT 1790360317.368 0.345
RTT 1790360317.619 0.180
RTT 1790360317.869 0.203
RTT 1790360318.119 0.334
RTT 1790360318.369 0.066
RTT 1790360318.620 0.297
RTT 1790360318.870 0.163
RTT 1790360319.120 0.270
RTT 1790360319.370 0.355
RTT 1790360319.620 0.169
RTT 1790360319.871 0.148
RTT 1790360320.121 0.304
RTT 1790360320.371 0.181
RTT 1790360320.621 0.293
RTT 1790360320.871 0.082
RTT 1790360321.121 0.175
RTT 1790360321.372 0.357
RTT 1790360321.622 0.191
RTT 1790360321.872 0.150
RTT 1790360322.123 0.329
RTT 1790360322.373 0.340
RTT 1790360322.623 0.314
RTT 1790360322.874 0.376
RTT 1790360323.123 0.058
RTT 1790360323.374 0.309
RTT 1790360323.624 0.083
RTT 1790360323.874 0.293
RTT 1790360324.124 0.069
RTT 1790360324.374 0.189
RTT 1790360324.625 0.385
RTT 1790360324.875 0.087
RTT 1790360325.125 0.078
RTT 1790360325.375 0.146
RTT 1790360325.625 0.214
RTT 1790360325.875 0.115
RTT 1790360326.125 0.056
RTT 1790360326.376 0.303
RTT 1790360326.626 0.152
RTT 1790360326.876 0.093
RTT 1790360327.126 0.067
RTT 1790360327.376 0.293
RTT 1790360327.627 0.380
RTT 1790360327.878 0.166
RTT 1790360328.128 0.071
RTT 1790360328.378 0.079
RTT 1790360328.629 0.487
RTT 1790360328.879 0.132
